RED SOCIAL,CONCEPTO,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
FACEBOOK,SEGUIDORES,2020,152107,156957.0,160595.0,16518.0,170488.0,178413.0,0,0,0,0,0,0
FACEBOOK,CRECIMIENTO (seguidores),2020,660,485.0,3638.0,4585.0,5308.0,7925.0,0,0,0,0,0,0
FACEBOOK,PORCENTAJE DE CRECIMIENTO,2020,0.43%,0.03,0.02,0.03,0.03,0.04,0,0,0,0.00%,0.00%,0
FACEBOOK,PUBLICACIONES,2020,45,53.0,52.0,106.0,98.0,64.0,0,0,0,0,0,0
FACEBOOK,ME GUSTA EN PUBLICACIONES,2020,8771,9002.0,13556.0,15022.0,38953.0,16487.0,0,0,0,0,0,0
FACEBOOK,PUBLICACIONES COMPARTIDAS,2020,2338,2680.0,2802.0,4214.0,8415.0,4240.0,0,0,0,0,0,0
FACEBOOK,COMENTARIOS (USUARIOS),2020,902,601.0,775.0,1100.0,2614.0,1268.0,0,0,0,0,0,0
TWITTER,SEGUIDORES (FOLLOWERS),2020,62404,63232.0,64149.0,65.41,66355.0,67496.0,0,0,0,0,0,0
TWITTER,CRECIMIENTO DE FOLLOWERS,2020,863,828.0,917.0,1261.0,945.0,1141.0,0,0,0,0,0,0
TWITTER,PORCENTAJE DE CRECIMIENTO,2020,0.01,0.01,0.01,0.02,0.01,0.01,0,0,0,0.00%,0,0
TWITTER,PUBLICACIONES,2020,77,84.0,90.0,135.0,127.0,82.0,0,0,0,0,0,0
TWITTER,RETUITS,2020,563,601.0,748.0,847.0,1136.0,780.0,0,0,0,0,0,0
TWITTER,ME GUSTA,2020,1224,1225.0,1601.0,1994.0,2667.0,2069.0,0,0,0,0,0,0
TWITTER,IMPACTOS,2020,197275,220118.0,270310.0,311931.0,409684.0,284147.0,0,0,0,0,0,0
YOUTUBE,VIDEOS,2020,1,2.0,5.0,4.0,4.0,4.0,0,0,0,3,5,0
YOUTUBE,VISUALIZACIONES,2020,12226,15605.0,19602.0,19452.0,21805.0,17344.0,0,0,0,0,0,0
YOUTUBE,COMENTARIOS,2020,0,0.0,2.0,0.0,6.0,0.0,0,0,0,1,3,0
YOUTUBE,ME GUSTA,2020,4,15.0,15.0,8.0,30.0,33.0,0,0,0,8,23,0
